# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
15,2815,0.608017,1.842434,3.611757
15,2815,0.526645,1.750925,3.073521
16,3055,1.337915,3.532922,7.651248
16,3055,1.184698,2.607226,3.565310
16,3055,0.643585,2.132564,3.366771
16,3055,0.534574,1.870725,2.191439
17,3243,1.405375,2.517966,3.592307
17,3243,1.006181,2.412167,3.198169
17,3243,0.592025,1.738976,2.357891
17,3243,0.543849,1.466672,2.053302
18,3274,1.316681,3.658202,7.158277
18,3274,1.150286,2.904142,3.185595
18,3274,0.762323,1.836523,2.229915
19,3269,1.168782,2.867221,4.844681
19,3269,1.170755,2.505671,2.936727
20,3212,1.411803,3.059655,5.864828
20,3212,1.220635,2.365925,3.171574
20,3212,0.832568,3.547685,3.144098
21,3364,1.218446,3.067270,5.599797
21,3364,1.263798,2.502709,4.186958
21,3364,0.769447,1.994724,3.265184
21,3364,0.641494,1.678687,2.768255
22,3499,1.360503,4.007613,6.104077
22,3499,1.065304,3.048895,4.427472
23,3533,1.306403,3.746810,5.417939
23,3533,1.163975,2.763920,4.678428
24,3623,1.309601,3.401750,5.507500
24,3604,1.176425,2.199415,4.363758
23,3367,1.037401,2.304389,3.234004
25,3740,1.409427,3.596923,6.429286
25,3740,1.059772,2.884680,4.041829
25,3740,0.837538,2.651808,4.130478
25,3740,0.756401,2.356333,3.508162
26,3838,1.286019,3.543643,5.406420
26,3838,1.188059,2.569463,4.221623
26,3838,1.184935,2.475211,4.375633
26,3838,0.749371,2.056012,3.310071
26,3838,0.718529,2.028613,3.103042
27,3918,1.319955,3.582391,6.172374
27,3918,1.342226,3.082445,3.920417
27,3918,0.893545,2.303255,3.666722
27,3918,0.709421,2.039865,2.988810
27,3918,0.661729,2.030136,2.198411
28,4085,1.319785,3.475085,5.279043
28,4085,1.063251,2.895658,2.703620
28,4085,0.826312,1.815762,2.054349
29,4320,1.185268,1.841864,3.090401
27,4083,1.073927,1.733109,2.261738
12,2179,0.378166,0.920346,1.583728
12,2179,0.336115,0.860936,1.255635
13,2202,0.735973,1.528935,2.690359
11,2056,0.611992,1.215882,2.254872
10,1957,0.378490,0.981095,1.494429
11,2056,0.352346,0.883485,1.416553
10,1957,0.290799,0.787113,1.193067
10,2004,0.716847,1.179801,4.359104
8,1936,0.376040,0.923247,3.393135
8,1936,0.310866,0.913665,3.399514
8,1936,0.298919,0.879435,2.595787
8,1936,0.267024,0.948403,2.225210
8,1936,0.270206,0.892584,2.189690
6,1606,0.218961,0.800493,1.655548
6,1606,0.222139,0.806411,1.390974
9,2118,0.699806,1.290232,4.094721
9,2118,0.507619,1.350070,3.340039
7,1788,0.301339,1.043431,2.795781
7,1788,0.270226,1.035080,2.363455
7,1788,0.244556,1.015142,1.724083
8,1878,0.615336,1.500575,4.299956
8,1878,0.549356,1.367866,3.456920
8,1878,0.330464,1.054532,3.103313
8,1878,0.310923,1.061720,2.669947
9,2059,0.705393,2.489490,5.147301
9,2059,0.606058,1.611099,4.710067
9,2059,0.412196,1.366022,3.928680
9,2059,0.383579,1.310867,3.095575
9,2059,0.355756,1.213805,2.863396
10,2244,0.764386,1.676362,6.388356
10,2244,0.737354,1.703796,4.429139
10,2244,0.508715,1.300469,3.786307
10,2244,0.417517,1.178708,3.072231
