# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
35,5167,1.527554,3.512216,4.641203
36,5384,1.359979,2.614868,2.916120
37,5404,1.579300,3.238919,5.341713
37,5391,1.589193,2.679433,3.382991
38,5460,1.595101,3.449208,4.015827
38,5405,1.423031,2.412494,2.898170
39,5465,1.581012,3.177860,3.668098
39,5449,1.442972,2.492105,2.793333
39,5400,1.659856,3.237879,4.298510
40,5599,1.449158,2.672197,2.966929
41,5816,1.704646,3.909603,3.982220
42,5890,1.553755,3.781327,4.487978
41,5652,1.530417,2.817792,3.282251
42,5869,1.409625,2.500725,3.072520
42,5788,1.709955,3.564181,4.612516
42,5762,1.540453,2.810310,2.903014
42,5762,1.453766,3.550899,4.430745
34,5320,1.717360,4.326076,5.426646
41,5800,1.594301,3.614408,4.475601
35,5310,1.376778,3.304870,3.528178
44,6176,13.586310,4.501603,5.936905
44,6166,1.751678,3.448159,4.311067
45,6383,1.580981,3.151879,3.544355
44,6166,1.991601,3.169351,2.714545
45,6191,1.805517,3.426695,4.811035
42,5976,1.524910,3.150320,3.994582
44,6015,1.947014,2.951428,3.358848
46,6266,1.729338,3.704432,6.318833
43,6166,1.655595,2.832280,5.051178
43,6200,1.778026,3.641962,5.934889
41,5899,1.893967,2.810955,4.103937
45,6323,1.772924,3.463427,5.682062
48,6527,1.507899,3.915855,6.741558
45,6032,1.618634,3.870505,6.713849
46,6180,1.885176,3.939941,6.677516
42,5963,1.783494,5.276760,8.661237
49,6778,2.372714,4.849851,6.044776
50,6869,2.045148,4.457765,6.506643
51,6978,1.862931,4.564913,6.590398
46,6233,1.842280,4.504326,7.242908
55,7305,2.220142,4.149696,7.560025
56,7432,2.206530,4.808659,6.524464
56,7427,2.241048,4.798075,7.544414
56,7427,2.052816,3.803364,4.604553
40,5285,1.640728,3.192046,5.126207
44,5988,1.883603,3.752250,5.178531
51,6702,2.229585,4.014580,5.149320
52,6885,2.552206,4.550030,7.664896
53,7255,2.464762,4.397380,5.716570
51,7206,2.302707,4.200131,5.603300
56,7426,2.269534,4.317910,5.067920
49,7020,1.343041,3.287358,4.246474
57,7698,2.610052,5.299764,7.479052
55,7649,2.327938,4.597539,6.052244
55,7649,2.474522,4.636905,5.773618
53,7139,2.153358,4.161368,4.418060
53,7139,1.644961,3.703930,4.537459
54,7847,1.827084,4.072763,5.437455
47,6918,2.544533,4.993316,5.412677
54,7345,2.450012,4.640393,4.988647
54,7345,2.260678,4.571051,4.792355
28,4463,1.068353,3.058080,4.209115
25,4397,0.845493,2.609570,3.757213
21,3699,0.997829,2.611863,5.585214
25,4113,1.223041,2.887772,4.437051
21,3699,0.947195,2.530423,4.283689
20,3605,0.934244,2.232593,3.997652
25,4113,0.929715,6.717485,3.950159
25,4113,0.877602,1.755398,2.953366
26,4352,0.973417,1.913252,4.532076
19,3557,0.926015,1.904728,3.427355
26,4352,1.013643,1.944793,3.046999
12,3120,0.551682,1.371226,2.017145
7,2636,0.496239,1.382941,4.746389
8,3067,0.587304,1.977407,3.619749
8,3067,0.738060,1.407245,2.816999
8,3067,0.433874,1.153366,2.133140
9,3386,0.525817,1.809564,4.381833
9,3386,0.584261,1.670468,3.871457
7,3077,0.438137,1.581414,3.423756
7,3077,0.398056,1.463084,2.939466
7,3077,0.390716,1.388733,2.462766
8,3066,0.463686,1.460000,4.306068
8,3066,0.472626,1.508886,3.588941
8,3066,0.838178,1.692112,3.122661
8,3066,0.422192,1.320721,2.132028
8,2450,0.425381,1.354064,3.562571
9,3039,0.533097,1.422323,2.652890
9,3039,0.425963,1.229186,2.002111
9,2464,0.416598,1.198264,3.471411
9,2464,0.404782,1.186862,2.354997
10,2466,0.491491,1.859964,3.938846
10,2466,0.600347,1.292648,3.055265
11,2477,0.477243,1.250003,3.974487
11,2477,0.485894,1.182577,2.893505
12,2652,0.532416,1.438787,4.142468
12,2652,0.572457,1.559164,4.045965
11,2419,0.443433,1.439125,2.901033
12,2802,0.550217,1.849016,4.109753
12,2802,0.638835,1.786797,3.605685
12,2802,0.578861,1.566539,2.876227
13,2967,0.615801,1.799493,4.749841
13,2967,0.550640,1.817647,3.597543
13,2967,0.541804,1.633406,2.744845
15,3279,0.656059,1.947682,3.882507
14,3046,0.599841,1.731572,3.340272
14,3046,0.575719,1.593000,2.877474
14,3046,0.513790,1.337685,2.141883
15,3104,0.780118,2.180469,4.546079
15,3104,0.735529,1.758514,2.461298
15,3104,0.527057,1.196365,1.813139
16,3130,0.846674,1.904734,4.110879
16,3130,0.590149,1.279092,2.006339
17,3098,0.608638,1.416216,3.438490
17,3098,0.675618,1.476835,2.522420
17,3098,0.550995,1.339165,1.997513
18,3236,0.565735,1.483653,3.656467
18,3236,0.733621,1.719967,2.705735
18,3236,0.606691,1.417419,2.084184
19,3370,0.615281,1.782108,3.627805
19,3370,0.704793,1.654444,2.935505
19,3370,0.588549,1.561147,1.941696
20,3456,0.683475,2.068243,3.854107
20,3456,1.138895,2.120592,3.062607
20,3456,0.631963,1.732414,2.264814
20,3456,0.620465,1.535058,1.984875
21,3597,0.693892,1.810424,4.064439
21,3597,0.711942,1.821905,3.038169
21,3597,0.681366,1.622459,2.260142
21,3597,0.601930,1.383364,1.539802
22,3749,0.721381,1.716613,4.257199
22,3749,0.789420,2.133187,3.570808
22,3749,0.796681,1.653913,2.600901
22,3749,0.623942,1.371873,2.001545
23,3958,0.748159,1.846533,4.788158
23,3957,0.786333,1.680272,3.267351
23,3957,0.745004,1.458210,2.525116
24,4037,1.214517,2.170040,4.041425
24,4037,0.849259,1.698385,3.214394
24,4037,0.818749,1.599371,2.962500
24,4037,0.699212,1.446698,2.758230
25,4056,0.766872,2.055148,5.158704
25,4056,0.862045,1.764852,3.793851
25,4056,0.762503,1.641677,3.304573
25,4056,1.364871,1.857453,2.666118
26,4183,0.819202,1.872089,4.813947
26,4183,0.968726,1.960699,3.378918
26,4183,0.859452,1.785797,3.269189
27,4271,0.877152,2.164357,4.791625
27,4271,0.962717,1.923430,3.531083
28,4412,1.080866,2.411095,6.019326
28,4301,1.013918,2.000443,4.106510
28,4301,1.228798,2.233524,4.193792
29,4375,1.152279,2.466952,4.949421
29,4375,1.068824,2.734741,4.678248
30,4615,1.196468,2.737406,6.669076
30,4463,1.103724,2.273611,5.412029
30,4463,1.041521,2.241131,4.637801
31,4663,1.187310,2.648926,6.192131
31,4631,1.631415,2.805208,5.693285
31,4631,1.162475,2.413010,4.768706
31,4631,0.991741,2.198432,4.143085
32,4852,1.085750,2.458587,6.424494
32,4852,1.206302,3.324667,5.456586
32,4852,1.107320,2.575590,4.599498
32,4852,1.598754,3.777569,4.776651
32,4852,1.281873,2.678412,4.144584
33,5015,1.075771,2.537648,5.992232
33,5015,1.168218,3.312574,5.001070
33,5015,1.172954,2.803601,4.383371
33,5015,0.902841,2.255939,3.553409
34,5303,1.074058,2.729487,7.127769
34,5289,1.307516,2.997338,4.494101
34,5289,1.174860,2.722448,4.472392
34,5289,1.182741,3.296318,4.347911
35,5517,1.229617,3.303328,6.762032
35,5501,1.530061,3.586734,5.156467
35,5501,2.848952,3.175720,4.367270
35,5501,1.076394,2.857855,3.441087
36,5578,1.006651,3.184427,5.086222
36,5578,1.328087,2.757705,3.664903
36,5577,1.307671,2.243621,2.560728
37,5526,1.793959,2.809638,4.560987
38,5387,1.190881,2.298594,4.676204
38,5386,1.249746,2.464673,3.617837
39,5768,1.412228,3.466229,5.414987
39,5605,1.351541,2.747876,5.014032
40,5828,1.674896,2.861835,4.845707
39,5566,1.181904,2.902828,4.753060
41,5929,1.539652,3.101623,4.872752
42,6054,2.168082,4.072189,6.387686
42,6030,1.406154,3.145122,4.831380
43,6073,1.669077,3.337118,4.958399
43,6189,1.307993,3.670163,4.838674
43,6189,1.502230,3.367429,4.619235
44,6511,1.665342,3.740825,5.869774
44,6348,1.374051,3.358355,4.592285
43,6097,1.673878,4.470243,4.569928
44,6348,1.854275,3.539260,3.185905
45,6787,2.040848,4.171304,5.068405
45,6675,1.342420,3.335608,4.381534
45,6675,1.581868,3.503623,2.766149
45,6675,1.529049,3.181099,2.418641
46,6943,1.767206,3.501254,3.662757
46,6929,1.236650,2.832771,2.601323
46,6929,1.673854,3.494603,2.214124
47,6998,1.702784,3.317379,3.115722
47,7015,1.211985,2.929088,2.851549
47,7015,1.518032,2.941604,2.121372
47,7015,1.478327,2.885933,1.713603
47,6884,1.259974,2.688081,4.006818
47,6884,1.517094,2.848396,2.821734
47,6884,2.251334,3.138392,2.240657
47,6884,1.138826,1.999056,2.033723
48,7033,1.170856,2.207646,3.826689
48,7030,1.499442,2.617377,2.789640
46,6555,1.273212,2.342992,1.614097
49,7016,1.244183,2.564963,3.294882
49,7016,1.448786,2.484482,1.898018
50,6980,1.566388,2.756258,3.046404
50,6958,1.431636,2.420651,2.016816
51,7000,1.469456,2.607197,2.675989
52,7231,1.441861,2.298396,2.127501
52,6987,1.523361,2.534074,3.150563
52,6976,1.383113,2.204017,2.375465
54,7240,1.592272,2.474160,3.348001
53,6977,2.377467,2.690641,3.126657
53,6977,1.432092,2.341753,2.292530
54,7139,1.366679,2.450946,3.436321
54,7139,1.353345,2.327430,2.144570
55,7216,1.450031,2.349880,2.954012
56,7281,1.497149,2.576857,4.536647
56,7268,1.620186,2.518223,3.016504
57,7446,1.970665,6.996364,4.912062
57,7424,1.985706,2.623514,2.926333
57,7424,1.662531,2.628380,2.441521
58,7668,1.555680,2.701120,4.609870
58,7661,1.842648,2.900942,3.114763
58,7661,1.567836,2.655711,3.208915
58,7661,1.245424,2.254541,2.383577
59,7905,5.057701,3.419954,4.853699
59,7905,2.042836,3.069397,3.563158
55,7152,1.373833,2.525293,2.851531
59,7905,1.333179,2.403184,2.331282
52,6921,1.243840,2.319026,4.037767
52,6919,1.352810,2.632765,3.896110
60,8070,1.396260,2.393396,2.450667
60,8070,1.201593,2.114927,1.875807
30,4561,0.974040,1.970520,3.569062
53,6949,1.645402,2.395391,2.970394
61,8100,1.455416,2.290537,1.985527
50,6562,1.173548,2.279676,3.650010
40,5885,1.307785,2.246930,3.416656
50,7029,1.393654,2.372936,2.319429
50,6998,1.389421,2.521307,4.090485
59,7468,2.181529,3.023018,3.468130
59,7468,1.314201,2.256381,2.359982
51,6633,1.224186,2.359193,4.335059
49,6601,1.259825,2.321096,3.484879
64,8252,1.615380,2.686874,2.902890
57,7270,1.274187,2.966107,5.428955
57,7270,1.496571,2.762032,3.713853
65,8421,1.610930,2.869091,3.524343
65,8421,1.450366,2.470359,2.828136
66,8517,1.475576,2.673490,4.358940
66,8517,2.339384,3.340409,4.241304
66,8517,1.615052,2.578477,3.273992
66,8517,1.358023,2.304324,3.000821
66,8517,1.270808,2.209833,2.909312
67,8618,1.520284,2.371463,4.966460
67,8618,1.747504,3.002810,4.101781
67,8618,1.474025,2.514244,3.610698
45,6326,0.948330,1.946915,2.699898
15,2437,0.779913,1.607392,1.893037
16,2636,0.476953,1.348914,3.842917
14,2471,0.525956,1.348908,3.269240
14,2471,0.407143,1.245600,2.179479
11,2178,0.328381,1.037315,1.823386
12,2306,0.414809,1.071826,2.912156
12,2306,0.419359,1.074981,2.517489
12,2306,0.397148,1.033160,1.990106
12,2306,0.710749,1.179399,1.895585
11,2176,0.334120,0.857708,1.405486
12,2252,0.371648,1.111532,3.063560
8,1856,0.313125,1.009623,2.183644
8,1856,0.262263,0.904924,1.731603
9,1946,0.386467,1.117315,3.052924
9,1946,0.315122,1.016814,2.381195
9,1946,0.342627,1.166472,2.394833
10,2010,0.483034,1.074387,4.118845
10,2010,0.373651,1.167710,3.302323
10,2010,0.342602,1.125355,2.652358
10,2010,0.312563,0.988511,1.896793
11,2125,0.450919,1.086627,3.778727
9,1930,0.344842,1.077408,2.898504
9,1930,0.312177,0.965784,2.143839
8,1797,0.277357,0.866435,1.716847
10,2089,0.450861,1.084739,4.199464
10,2089,0.399705,1.152902,3.222880
9,1956,0.318954,1.191405,2.648801
9,1956,0.288942,1.100069,1.979692
10,2014,0.460837,1.655717,4.066697
10,2014,0.477700,1.356675,2.053666
11,2147,0.376603,1.197314,2.026272
10,2014,0.309751,1.047516,1.942004
11,2100,0.377825,1.108179,3.336017
11,2100,0.387486,1.093988,2.735309
11,2100,0.334420,0.985281,1.798551
11,2027,0.391655,1.190098,2.410946
11,2027,0.389681,0.967090,1.737449
11,1804,0.334027,1.639421,8.277149
12,1730,0.353128,1.099886,2.575280
13,1766,0.463238,1.096539,2.867995
14,1887,0.457649,0.970530,3.135285
14,1887,0.479544,0.992887,2.878336
15,2119,0.492333,1.478066,4.233958
15,2119,0.486111,1.288790,3.092824
15,2119,0.441005,1.182319,2.378895
16,2376,0.572926,1.581707,4.004673
16,2376,0.497362,1.413443,2.807241
16,2376,0.474570,1.357142,2.256938
17,2501,0.562581,1.399923,3.547439
17,2501,0.661350,1.723679,3.508973
17,2501,0.479175,1.373384,2.130450
18,2544,0.510893,1.691829,3.443877
18,2544,0.523655,1.335141,2.562892
19,2508,0.636449,1.758711,4.264428
20,2612,0.755575,2.146432,5.240829
20,2586,0.860345,2.384006,4.438543
20,2586,0.684287,1.168381,2.170517
21,2849,0.658591,1.680203,4.385812
21,2849,0.631209,1.450282,3.022641
21,2849,0.616215,1.288456,2.356388
22,3087,0.669934,1.745699,3.872149
22,3087,0.677075,1.499213,3.210927
22,3087,0.991804,2.396863,3.276473
23,3188,2.004970,2.380288,3.964199
23,3170,0.656050,1.726295,3.252796
23,3170,0.685284,1.627240,2.317313
24,3241,0.694498,1.760907,3.898252
24,3230,0.688786,1.482883,2.347821
24,3230,0.722708,1.501263,1.686191
25,3293,1.184444,1.987374,3.180259
25,3287,0.662121,1.440702,2.267764
25,3132,0.719388,1.541356,2.622162
26,3268,0.658302,1.342523,2.255729
27,3288,0.741387,1.631815,3.613184
27,3273,0.716260,1.443115,2.507363
27,3273,1.206550,2.518063,2.804836
27,3256,0.856412,1.778419,2.769732
27,3250,0.682936,1.308477,1.890718
28,3343,0.795028,1.561288,2.823313
26,3138,0.725823,1.332233,2.066153
29,3492,0.716464,1.370799,2.269395
29,3492,0.643691,1.217801,1.927744
26,3391,1.002204,2.354452,5.159099
27,3392,0.782888,1.725002,2.870756
27,3392,0.617954,1.408026,1.998163
24,3278,0.605129,1.759069,3.492124
23,3171,0.657433,1.552083,2.429256
26,3381,0.692591,1.870608,3.505751
26,3381,0.733232,1.611485,2.466735
25,3304,0.664227,2.411824,3.375163
28,3585,0.840715,1.641027,2.348424
25,3610,0.639828,1.255274,1.707393
23,3151,0.628203,1.340162,3.540183
26,3305,0.643013,1.180651,2.593241
26,3305,0.621284,1.101539,1.836591
26,3305,0.578571,1.036749,1.418743
27,3405,0.661635,1.480325,3.559582
27,3405,2.441551,1.740577,2.291833
27,3405,0.643061,1.258816,1.848205
28,3518,0.664622,1.598185,3.059498
28,3518,1.653763,1.458995,1.857559
29,3459,0.762359,1.616012,2.538907
19,2704,0.492857,1.236575,1.895459
20,2774,0.552362,1.448294,2.958956
20,2774,0.644777,1.402529,2.553115
26,3223,0.669574,1.496362,2.534552
27,3213,0.648988,1.512472,2.780173
22,2691,0.611508,1.538004,2.474141
30,3367,0.770901,1.602246,2.935540
31,3749,0.870344,1.833847,2.607679
33,3643,0.740358,1.796924,3.071551
33,3643,0.784557,1.496922,1.703510
25,2926,0.628559,1.684781,2.031454
38,4082,0.981279,1.774210,3.374615
33,3980,0.750911,1.594519,2.068227
34,4244,0.896610,1.964498,3.470341
36,4027,0.827152,1.955495,2.280902
37,4121,0.844258,1.888381,2.342236
37,4121,0.983776,1.763705,1.776346
38,4102,0.838869,1.838095,2.409363
37,4100,0.886542,1.535956,1.761320
42,4410,0.959385,1.556493,2.644223
42,4410,0.871340,1.492249,1.472134
32,3563,0.737599,1.399477,2.349515
38,4392,0.841350,1.498073,1.708482
39,4493,1.591219,2.535355,2.550895
40,4490,2.292755,1.846113,1.661995
41,4587,1.400236,2.729305,2.571009
41,4578,1.161240,1.879545,1.826479
41,4732,1.363173,2.790363,3.013521
35,3885,1.134921,1.814598,1.781850
35,3897,1.238299,2.533561,3.255475
35,3887,3.477402,1.944991,2.000281
33,3764,0.744766,1.645507,1.401562
37,4293,0.961085,2.110326,3.930535
36,4148,0.921020,2.072133,2.009026
34,4025,0.786937,1.480929,1.599954
35,4045,0.761918,1.489919,2.259939
35,4045,0.765906,1.375935,1.357153
53,5352,1.180705,1.718793,2.532059
53,5352,1.007505,1.578305,1.995703
39,4241,0.817261,1.773088,3.620403
38,4120,0.839072,1.442417,2.390994
39,4197,0.835836,1.695761,2.960737
55,5557,1.271595,2.511329,12.390066
56,5625,1.743091,2.546656,3.424479
56,5615,1.075439,1.878068,2.510498
57,5783,1.345284,2.182817,3.672187
41,4393,0.897637,1.691870,2.696158
41,4393,0.837697,1.743203,2.623553
42,4639,0.951949,2.145080,3.976663
43,4760,0.985956,2.098524,3.227139
37,4225,0.743939,1.738069,2.300025
43,4732,0.983162,1.998125,4.231147
43,4732,1.128938,1.844016,4.002914
44,4853,0.927290,1.602929,2.937647
40,4611,0.926663,1.695286,4.116189
44,4699,1.022743,1.662057,4.142600
41,4311,0.931448,1.519797,3.040269
36,3869,0.728530,1.296722,2.756868
41,4611,0.836226,1.423360,2.490803
37,3970,1.134032,1.736327,5.318577
37,3970,0.963831,1.455451,3.438186
37,3970,0.759802,1.496975,4.337004
37,3970,0.764825,1.404346,3.782827
35,3791,0.686538,1.313969,3.220700
41,4712,0.877614,1.478361,3.237402
35,3791,0.721196,1.309653,2.819149
36,4155,1.404264,2.370281,5.576447
36,4144,0.861374,1.766216,5.282248
41,4602,0.956996,1.765343,4.511507
36,4144,0.766676,1.660352,3.730316
36,4144,0.737497,1.595773,3.187725
34,3889,0.703706,1.432804,2.976777
33,3960,0.830690,1.779159,5.353583
37,4381,1.524963,2.016332,4.302649
37,4381,0.902789,1.776548,4.098716
37,4381,0.797953,1.461219,3.937498
21,3024,0.518496,1.226294,2.839814
20,2894,0.614970,1.400769,5.004134
16,2582,0.505987,1.162452,4.308225
17,2650,0.525199,1.070089,3.022009
16,2582,0.832583,1.265891,2.322968
14,2324,0.458543,1.043217,3.908426
14,2324,0.500053,0.963884,3.736563
14,2324,0.420036,0.952846,2.450670
13,2386,0.466581,1.146099,5.539997
13,2386,0.481452,1.096032,3.583130
13,2386,0.408160,1.095762,2.349874
13,2503,2.318563,1.585520,4.416999
11,2361,0.463085,1.345891,3.356202
11,2361,0.399623,1.267179,2.838062
11,2391,0.430610,1.344015,3.982576
11,2391,0.430872,1.336444,3.910274
11,2391,0.420921,1.223823,3.143940
11,2391,0.411363,1.188001,2.858231
11,2391,0.417789,1.325970,11.825983
11,2498,0.515525,1.524984,5.279322
11,2498,0.526415,1.359421,4.231707
10,2491,0.433262,1.305242,3.418641
10,2491,0.420321,1.263122,2.699979
11,2498,0.395174,1.261111,2.392017
11,2656,0.485363,1.438081,4.154950
11,2656,0.482155,1.397649,3.643414
11,2656,0.424920,1.334609,2.584753
11,2656,1.958073,1.293848,2.479937
11,2677,0.511218,1.494518,4.745277
11,2677,0.504434,1.974217,3.867026
11,2677,0.765933,1.576296,2.828572
11,2677,0.464563,1.306440,2.060467
11,2562,0.497383,1.345560,3.590334
11,2562,0.504791,1.450287,3.507477
11,2562,0.415018,1.297128,2.569663
12,2680,0.483790,1.440906,4.375285
12,2680,0.487636,1.430618,2.789678
12,2680,0.433990,1.255521,2.395492
13,2737,0.663991,1.955652,3.852019
12,2562,0.532418,1.371098,2.937410
13,2737,0.521217,1.277241,2.243223
14,2859,0.504435,1.433104,3.568433
14,2859,0.617002,1.423334,3.113903
13,2684,0.470685,1.195461,2.190261
13,2684,0.441644,1.100841,1.571838
14,2759,0.550291,1.472656,3.944931
14,2759,0.557570,1.354694,2.967838
14,2759,0.555262,1.250466,2.119264
15,2841,0.541821,1.554673,2.735146
15,2841,0.636700,1.510234,2.435127
15,2841,0.451920,1.267033,1.695578
16,2897,0.507896,1.492984,3.266388
16,2897,0.561179,1.369823,2.511626
16,2897,0.497590,1.241008,2.379519
16,2897,0.537222,1.336583,1.672854
18,3152,0.654185,1.413296,3.570555
17,2959,0.578850,1.369825,2.365672
17,2959,0.542770,1.367971,1.943663
18,3104,0.581990,1.954862,3.616223
18,3104,0.547741,1.555709,2.539014
18,3104,0.538741,1.456687,1.923835
19,3115,0.575818,1.612686,3.621027
19,3115,0.785693,1.678223,2.425022
20,3109,0.631461,1.549032,3.860583
20,3109,0.642940,1.296270,2.250173
21,3174,0.612508,1.472316,3.146219
21,3174,0.681301,1.383358,2.317167
22,3196,0.617147,1.496549,3.388143
22,3196,0.631785,1.296350,2.725608
22,3196,0.580575,1.164333,2.256266
23,3326,0.730077,1.588895,3.991577
23,3326,0.714939,1.497428,3.457642
23,3326,0.604537,1.345858,3.149608
23,3326,0.601408,1.281342,2.143624
24,3521,0.649052,1.446128,4.040295
24,3521,0.689517,1.465190,3.592421
24,3521,0.588237,1.398202,2.815723
24,3521,6.900670,1.517538,2.798518
24,3521,1.045595,1.523373,1.949701
25,3684,0.718878,1.731575,4.415005
25,3684,0.694012,1.569851,3.654685
25,3684,0.680965,1.488481,2.891008
25,3684,1.141824,2.018224,2.836020
20,3451,0.593914,1.458109,2.248555
26,3815,1.398870,3.389817,5.988303
26,3815,1.727262,2.745787,4.351492
26,3815,0.881903,1.872513,3.250981
26,3815,0.691570,1.622848,3.125327
26,3815,0.635563,1.401487,2.158170
17,2642,1.171652,3.206529,5.497161
25,3813,1.199201,2.183544,4.300189
27,3996,0.752754,1.640540,4.012901
19,2857,0.970265,1.804288,2.654837
17,2642,0.483704,1.254957,2.783638
16,2541,0.448272,1.147050,2.889960
17,2642,0.877204,1.185978,2.173958
17,2716,0.567590,1.354880,4.333672
18,2977,0.611640,1.477460,4.093280
17,2715,0.524206,1.163681,3.057814
15,2492,0.429549,0.996355,2.557472
15,2492,0.403926,0.945620,2.432637
12,2218,0.345677,0.826215,1.878255
16,2603,0.613340,1.214348,4.075191
13,2329,0.529488,1.053744,3.563913
13,2329,0.423029,0.845086,2.162404
16,2603,0.445616,0.853589,2.057991
13,2329,0.365124,0.723975,1.762218
15,2390,0.625431,1.327285,4.311343
14,2389,0.539483,1.115289,2.954525
17,2520,0.467948,1.279250,3.664867
17,2520,0.572376,1.139657,3.837467
19,2817,0.594520,1.332063,4.832738
19,2817,0.660118,1.202734,4.662466
18,2731,0.517710,1.229996,3.626700
20,3016,0.568185,1.486059,5.397631
20,3016,0.649722,1.556311,4.445038
19,2930,0.945952,1.948871,3.703301
19,2930,2.491505,1.630396,3.529196
16,2673,0.655824,1.584471,5.293646
17,2773,0.608735,1.624971,5.095352
16,2673,0.562501,1.522343,4.445140
16,2673,0.496781,1.562115,3.420389
15,2772,0.489043,1.519783,3.340792
12,2409,0.557497,1.599491,5.364605
16,2773,0.610101,1.746065,5.105291
13,2776,0.564644,1.709637,4.111376
13,2776,0.531560,1.640222,4.272842
13,2776,0.490838,1.583812,3.565659
14,2951,0.618851,2.523385,7.076332
15,2960,0.961168,1.878957,5.603155
15,2768,0.629366,1.517844,4.157579
14,2951,0.569930,1.484747,3.444418
14,2951,0.521581,1.416202,3.124759
22,3521,0.694117,2.120163,4.585247
14,2822,0.568257,1.854280,5.016737
14,2822,5.449901,1.999032,5.414497
14,2822,0.941760,1.866058,3.830629
14,2822,0.483338,1.477840,3.242539
14,2822,0.470744,1.353553,2.780002
15,2929,0.571464,1.397878,4.663897
17,3305,0.617343,1.633878,4.201848
17,3305,0.643970,1.694387,3.367598
17,3113,0.561057,1.317454,2.735025
17,3113,0.954759,1.438516,2.015165
18,3125,0.618537,1.373312,3.790270
18,3125,0.682659,1.169340,2.485559
18,3125,0.557365,1.093261,2.528121
18,3125,0.536839,1.037782,2.074474
19,3223,0.664920,1.480567,4.873981
19,3223,0.955818,1.664094,3.967272
19,3223,0.562055,1.215200,3.110801
19,3223,0.517619,1.148136,2.787625
18,3178,0.571341,1.389062,4.169222
20,3362,0.665929,1.424160,3.631733
18,3178,0.546628,1.322111,3.381947
20,3362,0.576161,1.275459,2.522584
21,3428,0.593362,1.335675,3.482855
16,3219,0.892039,1.594607,3.443081
14,3122,0.705008,1.506463,3.213647
15,3161,0.513003,1.261914,2.033720
14,2695,0.490726,1.251045,4.085053
18,3223,0.629509,1.455054,3.309307
19,3499,0.590498,1.482271,2.872043
19,3499,0.558876,1.435886,2.604328
13,2747,0.518435,1.363716,4.321472
14,3115,0.556004,1.447628,3.054905
14,3115,0.499050,1.330356,2.980995
19,3622,0.582188,1.314961,2.943991
19,3622,0.606200,1.439163,2.155262
19,3857,0.796213,1.729863,4.314261
15,3501,0.670166,1.642961,3.492283
15,3501,0.558997,1.466192,2.940465
13,3286,0.600689,1.618457,4.756560
13,3286,0.570582,1.579013,3.545027
13,3286,0.521848,1.379373,2.593417
13,3286,0.496870,1.317738,2.500851
12,2566,0.533867,1.520164,4.788540
12,2566,0.482856,1.509779,3.183880
12,2566,0.499139,1.372260,2.324998
12,2566,0.440988,1.225084,1.990987
13,2766,0.579247,1.420107,5.677947
13,2766,0.621767,1.400256,2.621149
13,2766,0.479741,1.283770,2.521387
13,2766,0.441757,1.187074,2.111072
13,2766,0.429855,1.111406,1.896512
14,2898,0.572460,1.522751,4.524488
14,2898,0.525853,1.334943,2.996901
14,2898,0.515171,1.277333,2.288132
15,2966,0.591422,1.567638,3.950809
15,2966,0.510765,1.456914,2.637723
15,2966,0.495133,1.307711,2.257244
15,2966,0.474914,1.187163,2.010648
16,2875,0.511509,1.183656,3.259296
16,2875,0.627927,1.237302,2.080370
17,2958,0.592821,1.426118,3.741044
17,2958,0.625353,1.214898,2.921582
18,3023,0.720058,1.632646,4.094197
18,3023,0.608517,1.376621,3.272258
18,3023,1.013188,1.622516,2.520797
19,3176,0.572220,1.827041,4.152066
19,3176,0.619121,1.544596,3.008017
19,3176,0.672826,1.466622,2.556422
19,3176,0.561171,1.344458,2.204879
20,3289,0.736565,1.734463,4.552071
20,3289,0.633879,1.542063,2.986181
20,3289,0.670584,1.498425,2.476376
21,3361,0.675028,1.698707,3.401363
21,3361,0.674491,1.408994,2.726855
21,3361,0.645962,1.315275,2.255571
22,3412,0.659255,1.361970,3.508753
22,3412,0.699655,1.347115,2.311485
22,3412,0.658781,1.260411,1.938953
23,3537,0.693607,1.584396,4.678150
23,3537,0.777790,1.641282,3.604722
23,3537,1.230099,1.938893,3.227496
23,3537,0.647337,1.450244,2.363321
23,3537,0.620319,1.399882,2.285308
24,3755,0.748964,1.865526,4.008362
24,3755,0.820878,1.743267,3.737600
24,3755,0.811823,1.895179,2.863064
24,3755,0.628711,1.611981,2.778636
24,3755,1.050930,1.758954,2.369677
25,4038,1.009673,2.064377,4.853062
25,4034,0.795238,1.922870,4.119930
25,4034,0.808968,1.870018,2.672640
25,4034,0.704489,1.580230,2.018444
26,4058,0.746491,1.839504,3.498278
26,4058,0.769633,1.787866,3.257015
26,4058,0.713285,1.722903,2.881696
27,4019,0.834143,2.071253,4.632954
27,4019,1.084837,2.220323,3.452444
27,4019,0.887561,1.834912,2.844053
28,4010,0.773398,1.895087,4.180912
28,4010,0.847125,1.770848,3.479928
29,4189,0.963998,2.066859,5.858104
29,4172,0.915175,1.859125,4.709469
29,4172,0.955686,1.954986,4.040389
28,3996,0.753433,9.344668,3.708502
29,4142,1.041876,2.018759,4.749079
30,4318,1.002364,1.983894,4.505883
30,4318,0.928065,1.826020,3.535297
30,4318,0.904896,1.713698,3.697751
30,4318,0.806033,1.516686,3.469357
31,4355,1.058000,2.249756,5.493151
31,4355,1.157730,1.894533,4.599248
31,4355,0.994495,1.802183,3.892066
