# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
0,0,1,371,371,30.866632,0.036966,0.029748,2.494144,0.043512,0.004277,0
103735900,1,2,538,511,1.365197,0.040927,16.839848,5.783209,0.063735,0.001560,0
207338100,2,3,540,656,24.608620,0.303984,45.715354,0.000249,0.000000,0.000000,0
311075200,3,4,573,802,23.605246,0.296525,56.718232,0.000137,0.000000,0.000000,0
414691700,4,5,480,815,20.367441,0.234984,24.437246,0.000172,0.000000,0.000000,0
518430200,5,6,525,889,18.213990,0.243459,74.835812,0.000133,0.000000,0.000000,0
622044800,6,7,665,1096,18.474430,0.366330,60.721050,0.000112,0.000000,0.000000,0
725797700,7,8,710,1141,17.961730,0.331415,52.644801,0.000134,0.000000,0.000000,0
829419900,8,9,651,1210,22.930076,0.496002,56.316543,0.000147,0.000000,0.000000,0
933146700,8,10,675,1304,22.807343,0.369411,57.831896,0.000162,0.000000,0.000000,0
1036910000,7,11,770,1422,20.369358,0.307239,58.555846,0.000173,0.000000,0.000000,0
1140497000,7,12,815,1510,25.545374,0.510688,65.610727,0.000140,0.000000,0.000000,0
1244242000,8,13,744,1543,19.645047,0.393787,58.305691,0.000127,0.000000,0.000000,0
1347979000,9,14,769,1651,18.582025,0.320152,67.572495,0.000148,0.000000,0.000000,0
1451596000,8,15,718,1751,17.969141,0.312143,61.463259,0.000141,0.000000,0.000000,0
1555212000,8,16,793,1868,18.735994,0.413312,85.005946,0.000124,0.000000,0.000000,0
1658960000,9,17,849,1965,18.442597,0.526908,66.923879,0.000120,0.000000,0.000000,0
1762569000,10,18,790,1976,20.229893,0.572562,59.319575,0.000114,0.000000,0.000000,0
1866302000,9,19,777,2080,18.233545,0.369425,68.906443,0.000131,0.000000,0.000000,0
1969923000,10,20,801,2188,20.666105,0.544382,70.526150,0.000118,0.000000,0.000000,0
2073666000,11,21,830,2275,20.514844,0.517201,79.334187,0.000129,0.000000,0.000000,0
2177281000,11,22,837,2347,18.751760,0.550727,63.327765,0.000122,0.000000,0.000000,0
2281017000,12,23,811,2394,17.379446,0.379207,69.245839,0.000155,0.000000,0.000000,0
2384639000,12,24,780,2428,17.579091,0.441380,64.291042,0.000156,0.000000,0.000000,0
2488250000,12,25,819,2519,17.098594,0.369288,71.778245,0.000106,0.000000,0.000000,0
2591988000,13,26,841,2555,18.468653,0.424934,60.856513,0.000111,0.000000,0.000000,0
2695832000,15,27,794,2542,17.779632,0.442261,56.646442,0.000114,0.000000,0.000000,0
2799367000,16,28,716,2579,17.943419,0.416826,60.539348,0.000139,0.000000,0.000000,0
2903084000,15,29,704,2627,19.082751,0.575220,64.575479,0.000108,0.000000,0.000000,0
3006768000,17,30,714,2713,20.744567,0.484651,70.332558,0.000123,0.000000,0.000000,0
3110441000,16,31,717,2763,18.898513,0.519959,69.398652,0.000160,0.000000,0.000000,0
3214057000,20,32,719,2847,18.645961,0.501035,70.287479,0.000106,0.000000,0.000000,0
3317669000,11,33,758,2892,41.086606,0.557103,58.152960,0.000107,0.000000,0.000000,0
3421285000,14,34,733,3000,31.234268,0.471170,69.461928,0.000113,0.000000,0.000000,0
3524925000,17,35,741,3076,26.711287,0.499760,61.914661,0.000133,0.000000,0.000000,0
3628545000,12,36,791,3178,23.996082,0.454197,80.766993,0.000103,0.000000,0.000000,0
3732256000,12,37,862,3234,22.358593,0.538854,71.165457,0.000154,0.000000,0.000000,0
3835871000,13,38,756,3235,21.984809,0.586207,64.804979,0.000122,0.000000,0.000000,0
3939488000,14,39,672,3290,20.796453,0.535676,65.513501,0.000152,0.000000,0.000000,0
4043107000,17,40,687,3376,20.908442,0.412382,58.951206,0.000146,0.000000,0.000000,0
4146888000,15,41,712,3443,20.307629,0.427916,58.377418,0.000110,0.000000,0.000000,0
4250460000,18,42,700,3459,20.157792,0.425773,66.495375,0.000118,0.000000,0.000000,0
4354202000,18,43,642,3444,19.899415,0.404460,50.128316,0.000132,0.000000,0.000000,0
4457940000,19,44,590,3436,20.681208,0.492568,57.795948,0.000121,0.000000,0.000000,0
4561559000,19,45,604,3478,18.666728,0.420904,56.333987,0.000114,0.000000,0.000000,0
4665293000,21,46,518,3442,19.034125,0.351722,37.182187,0.000117,0.000000,0.000000,0
4768912000,20,47,546,3511,17.742933,0.330592,62.384209,0.000106,0.000000,0.000000,0
4872532000,21,48,581,3678,18.296211,0.274578,53.682818,0.000113,0.000000,0.000000,0
4976146000,19,49,656,3802,18.973401,0.461639,74.761264,0.000129,0.000000,0.000000,0
5079909000,23,50,744,4033,20.467172,0.428690,76.534174,0.000143,0.000000,0.000000,0
