#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
123.461042,14,22,2618,7539
116.105834,15,22,2586,7797
122.325290,16,22,2724,8229
130.554067,17,22,2858,8634
168.113874,17,17,2730,7974
142.184527,19,22,3085,9313
187.292724,19,17,3023,8688
145.745369,20,17,3232,9178
147.084336,20,4,3186,9240
150.913945,20,4,3052,9163
167.700600,22,4,3332,10072
162.193880,23,4,3420,10678
153.200245,20,7,2990,10034
168.360580,24,5,3523,11871
216.680627,20,9,3053,10975
204.840000,24,7,3669,13004
261.035360,22,9,3370,12165
184.231030,21,11,3283,11759
257.573872,21,12,3419,11929
205.948883,21,12,3486,12010
194.709726,21,13,3457,12033
153.135287,23,13,3266,12842
117.798315,24,13,3585,13899
42.074135,25,13,3698,14440
126.896632,20,20,3320,13882
204.005305,21,20,3479,14689
291.049015,22,20,3638,15255
320.154518,23,20,3965,15862
233.170229,23,21,4134,16075
231.216052,18,27,3947,15486
177.248485,15,31,3137,11788
171.222436,15,32,3117,11290
161.039974,16,32,3103,11455
111.945731,16,33,2876,10950
110.489606,13,37,2527,9633
114.925714,16,35,2704,10692
172.529201,19,33,2895,11733
127.436279,11,42,2463,9620
42.054814,9,45,1523,4745
136.647452,16,39,2974,12175
165.347848,16,40,3023,12219
175.497494,16,41,3189,12761
194.649697,15,43,2873,10258
102.992272,13,46,2287,6814
109.965218,14,46,2317,7090
192.310764,19,42,3566,13576
117.201387,16,46,2438,7854
156.015397,14,49,2392,8006
136.112567,17,47,2541,8453
116.183488,14,51,2336,7821
118.159847,14,52,2344,7849
106.030109,8,58,1810,5267
71.575376,7,60,1780,4991
67.056461,4,64,1371,3115
53.746472,4,12,1293,2540
62.510136,5,12,1357,2927
59.228489,5,8,1323,2749
76.345917,6,8,1482,3142
83.544752,7,8,1540,3420
83.614658,8,8,1626,3680
64.944211,9,8,1710,3970
64.914356,9,7,1529,3745
37.835049,11,8,1581,4390
12.170951,12,8,1617,4803
76.551206,13,8,1738,5262
87.230050,14,8,1970,5720
132.066388,15,8,2227,6286
101.590850,15,7,2226,6279
104.101299,16,7,2269,6539
64.232529,17,7,2233,6818
169.067545,18,7,2311,7379
124.044324,19,7,2574,7959
178.346456,19,4,2733,8293
121.177592,16,7,2514,7824
181.107101,16,8,2392,7491
123.924538,17,8,2449,7828
119.103847,16,10,2275,7679
182.607963,17,10,2280,7966
107.439358,13,14,2098,7217
107.544154,12,16,2145,7552
90.548812,10,19,1953,6121
95.450044,8,22,1807,4872
75.728376,9,22,1828,5204
82.874258,10,22,1930,5632
106.756478,10,23,1844,5491
84.225508,11,23,1943,5765
148.043732,12,23,2056,6108
83.954732,10,26,1872,5868
67.092800,9,28,1612,4637
12.589778,8,27,1446,4213
27.533032,9,27,1436,4504
18.448330,10,27,1423,4470
15.847479,12,26,1616,5179
98.657602,11,29,1504,5037
38.907644,11,28,1442,4902
104.355349,12,28,1530,5314
92.187640,14,29,1887,6261
97.869746,15,29,1981,6511
89.127168,14,29,1794,6029
98.612517,16,28,1868,6490
92.575428,15,30,1810,6273
121.685979,16,30,1908,6597
112.677937,19,28,2129,7335
108.992850,18,30,2132,7238
172.312307,21,28,2404,8023
115.195837,15,35,2423,7656
85.683468,10,41,1970,6160
73.037964,10,42,1664,5241
80.779358,11,42,1801,5681
124.826439,15,39,2374,8178
96.663725,13,42,1928,6423
108.958651,12,44,1758,5498
90.005133,13,44,2005,6037
98.197820,14,44,2099,6422
147.381321,16,43,2149,7093
109.668049,16,44,2168,7251
139.270786,13,48,2211,6806
151.795622,13,49,2438,7381
132.657015,10,46,2141,6637
79.614164,7,39,1795,5706
79.445406,6,40,1886,5887
100.421215,6,33,1840,5317
100.046538,6,34,1792,4961
92.932942,6,18,1819,4633
76.284180,7,18,1984,5057
133.704774,8,18,2081,5460
79.246015,8,15,2017,5089
