#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
123.095426,10,22,2131,5738
86.970404,10,23,2051,5555
88.118782,11,23,1938,5701
120.407039,11,24,1946,5766
75.751953,9,27,1733,4918
73.456515,9,28,1705,4841
132.623369,10,28,1850,5225
109.661143,9,30,1750,4721
71.150885,8,32,1662,4067
74.805454,9,32,1870,4438
80.124790,7,32,1677,3603
66.406867,8,32,1813,3921
85.813824,7,32,1684,3482
62.347177,8,32,1668,3726
63.981807,9,32,1664,3998
79.267670,8,31,1610,3552
101.350820,9,31,2056,4276
94.222663,7,27,2067,4093
71.965497,5,30,1616,3260
66.097306,5,20,1312,2929
50.655288,4,13,1160,2358
48.831635,4,9,1140,2247
210.177482,32,69,3294,11777
262.503562,36,72,3720,13739
228.203932,34,68,3464,12896
251.657275,33,38,3475,12681
258.380192,36,48,3885,14061
290.679532,37,39,3974,15247
227.948420,37,40,3994,15675
58.050376,37,36,4074,16231
238.270085,38,39,4257,17125
190.208029,40,39,4542,18018
320.408804,40,34,4376,17840
306.235442,40,35,4444,18195
324.247205,39,36,4449,18139
62.313384,35,55,4597,19234
169.531744,32,112,4112,18378
327.272734,32,112,3895,18537
298.597374,47,132,6630,29898
726.488600,51,137,7097,32295
419.064309,35,29,4607,22475
549.537638,40,26,5486,24908
414.299463,41,26,5423,25263
458.456102,41,24,5127,25068
508.768592,42,20,5269,25569
510.727454,44,28,5508,26884
284.379997,49,66,5426,30254
703.797828,50,66,5428,30884
178.724411,30,60,4430,19821
356.698037,33,58,4668,20901
381.733842,36,56,4953,21816
418.135749,43,42,5902,25115
84.771539,46,43,6108,26466
633.315091,51,40,6875,31764
327.422711,44,26,6689,31559
555.296328,43,28,6394,30465
641.930696,51,21,7372,35561
393.957574,50,22,6803,32049
99.497580,50,25,6718,32334
231.974645,53,23,6817,33262
566.134553,54,23,6862,33770
107.606345,50,34,6965,34324
236.695202,49,35,6639,33614
334.081933,48,56,6629,35347
91.783236,40,66,5283,30646
881.491840,42,65,5354,31808
628.581428,42,66,5417,32285
624.386154,40,108,5297,31777
542.734792,36,113,5272,29854
89.906414,29,74,4393,18130
216.847960,32,72,4616,19827
357.870593,34,71,4839,21022
409.736974,39,67,5621,24088
198.837268,46,61,6420,27654
91.317323,49,59,6511,28477
614.818470,49,60,6651,28684
549.106328,48,55,6353,27262
601.818867,52,52,6662,28762
417.908060,51,27,6340,28450
609.262811,53,26,6499,29345
217.279178,45,35,6167,28635
77.691730,41,43,5465,25985
235.014931,40,43,4804,23567
895.390604,53,33,6577,30668
450.617259,39,46,5186,24589
277.797033,38,52,4826,21926
356.353343,38,53,4680,21952
137.081386,30,63,4632,21881
286.832971,33,62,3965,18169
225.979517,26,70,2820,11040
175.249876,27,70,3190,11944
321.082699,32,70,4311,19101
299.216562,33,89,4371,19703
40.474422,26,78,3318,12808
85.481339,24,81,3481,13343
211.184622,24,76,2595,9322
167.517859,24,77,2902,10092
241.509128,24,78,3181,10628
153.056317,18,83,2868,9675
117.430169,13,89,2331,7390
144.987086,17,86,2638,8556
170.328362,14,87,2494,8024
136.301950,14,88,2555,8140
145.512331,16,87,2704,8755
129.859994,14,89,2485,8133
183.402217,15,89,2450,8474
142.102525,12,92,2226,7718
123.338878,14,91,2445,8550
112.527518,16,90,2450,9010
151.855402,15,92,2450,9152
122.254950,13,92,2313,7728
131.607868,14,92,2488,8141
110.557268,12,66,2129,6913
135.962505,16,92,2383,8550
144.737267,17,92,2470,9054
159.610748,17,93,2421,8998
130.559350,18,93,2543,9531
125.542009,18,88,2571,9842
275.031326,22,88,2862,12616
202.452839,22,66,2962,12867
251.296343,22,52,3287,13474
301.342035,20,54,3278,13133
232.402795,14,51,2822,10966
174.085642,13,53,3007,10972
114.075980,6,50,2350,7736
79.700205,4,25,1651,3931
60.889364,4,17,1330,2809
52.080855,4,16,1170,2227
56.068897,5,16,1183,2511
65.115399,6,16,1320,2880
74.661624,7,16,1453,3271
69.652430,7,13,1435,3101
82.426336,8,13,1668,3561
80.048748,8,3,1606,3554
84.203112,9,3,1654,3819
95.365219,10,3,1788,4184
71.479401,10,4,1852,4343
109.245417,12,3,1969,4910
87.875618,13,3,2017,5264
185.301711,12,5,1946,5287
119.329261,11,6,1951,5175
122.868044,11,7,2104,5531
137.545567,12,7,2196,5818
102.827938,14,6,2266,6151
123.336506,12,9,2065,5583
89.520984,12,10,1982,5651
101.086455,14,9,2150,6168
132.845782,13,11,2093,6051
94.454579,11,14,2022,5797
100.742096,9,15,1766,4894
69.139402,9,16,1616,4430
99.107781,9,17,1721,4555
68.697905,8,19,1757,4379
60.465496,7,21,1537,3796
82.951541,8,21,1498,3898
60.735933,8,22,1496,3806
110.925328,8,23,1481,3748
66.051099,9,23,1549,4045
75.429403,10,23,1719,4491
63.085029,9,24,1552,3933
84.167781,9,25,1484,3850
90.436430,9,26,1579,4017
68.508238,9,27,1590,4084
79.974830,12,25,1793,4836
14.720133,11,27,1726,4619
81.101726,12,27,1743,4979
82.667699,12,26,1818,5141
42.023651,11,28,1750,4919
15.198079,11,22,1648,4939
104.767919,11,22,1585,4990
107.459995,11,23,1630,5098
87.877240,12,23,1814,5523
121.712576,12,24,1905,5627
117.443353,11,26,1797,5422
98.993020,13,25,1989,6148
141.487316,14,25,2085,6514
96.226416,13,25,1884,6085
149.235581,14,26,1980,6844
112.666789,13,28,2006,6834
127.373691,13,29,2025,6749
96.937723,12,31,2055,6594
120.239414,15,29,2356,7590
103.922871,12,31,1977,6248
123.901274,13,34,2072,6554
116.186303,13,35,2143,6572
172.503175,13,36,2218,6622
130.225701,11,38,2261,6480
88.372936,8,37,1887,5166
91.206269,7,39,1584,4180
38.005028,7,40,1398,3696
32.071531,10,38,1538,4749
19.047503,8,27,915,2598
10.497466,10,28,1040,3120
75.381147,11,31,1121,3414
61.497081,11,28,1293,3785
95.236769,13,31,1457,4259
101.318876,12,29,1470,4439
80.150153,13,30,1565,4793
86.509433,14,30,1713,5204
91.191652,14,33,1815,5538
99.691770,15,43,1951,5941
151.535321,16,43,2062,6330
135.864755,15,45,2064,6377
114.850937,15,46,2070,6520
112.192875,15,47,2137,6765
133.156939,16,50,2289,7118
19.060803,10,57,1773,5256
119.918936,12,57,1857,6148
131.547856,15,59,2092,7339
105.285743,15,52,2257,7696
110.273892,13,54,2047,6751
164.112907,14,54,2161,7110
134.713188,13,55,2120,6576
85.163346,10,48,1791,5454
104.807439,14,53,2046,6637
87.608580,11,48,1797,5711
89.963683,11,49,1890,5871
128.865607,11,39,1938,5999
147.207053,13,38,2205,6880
87.640687,10,42,1825,5396
92.288106,11,42,1948,5779
94.906048,12,42,1941,6006
112.336601,13,42,1949,6297
148.942206,14,42,2056,6743
177.814879,17,47,2409,8678
157.619833,19,47,2610,9578
197.115035,18,43,2467,8994
155.821787,19,43,2735,9521
164.943216,19,44,2905,9791
107.305261,20,44,2960,10216
100.597993,21,44,2981,10594
111.459136,21,45,2999,10731
114.665903,23,44,3114,11315
100.198373,24,44,3143,11626
129.228899,22,48,2903,11316
255.166937,22,49,3005,11516
218.175690,23,49,3257,12012
186.877164,21,52,3211,11427
239.401879,21,53,3243,11498
225.890610,22,53,3277,11791
112.059830,23,53,3329,12084
158.122898,16,50,2131,6883
140.084498,20,47,2824,9425
100.781130,16,52,2384,7666
120.014755,19,50,2501,8163
143.780738,20,50,2905,9909
68.261877,14,41,2224,7325
145.435612,20,52,2684,9094
100.609395,14,43,2171,6786
217.959939,20,38,2865,9264
123.759662,18,41,2632,8407
108.497949,18,42,2543,8187
112.145156,16,45,2372,7627
105.143039,18,44,2379,7974
159.003952,19,44,2457,8387
158.978473,19,47,2285,8394
126.219865,19,42,2431,8590
131.856461,20,42,2594,8947
86.385415,20,43,2640,9025
100.008501,16,45,2536,8469
121.738250,19,43,2762,9073
121.958211,18,45,2645,8900
108.254593,17,47,2375,8041
126.108433,16,49,2312,7892
92.235671,18,48,2467,8316
116.081606,17,50,2410,7987
115.182736,17,51,2366,7978
212.966351,16,53,2476,8365
89.993908,13,52,2134,6600
116.813609,14,52,2237,6974
182.754756,15,52,2377,7435
130.973673,15,53,2346,7170
104.211183,17,52,2491,7957
107.723559,14,46,2199,6829
123.564863,18,53,2519,8100
143.622669,13,49,2133,6364
132.497924,16,47,2568,8201
108.483486,14,50,2254,6621
138.404435,16,49,2488,7484
115.397440,17,49,2529,7777
114.945493,17,50,2367,7349
114.608751,17,51,2355,7335
155.956267,17,52,2364,7367
95.834816,15,53,2078,6512
151.797731,16,53,2216,6889
108.613706,15,55,2263,6621
103.438728,14,56,2203,6217
123.075016,12,58,1928,5479
86.142913,12,32,1898,5325
132.232852,13,32,1917,5484
92.885626,10,35,1567,4350
69.353843,9,32,1516,4228
69.518991,7,30,1184,3217
68.059796,7,31,1165,3106
49.688621,7,28,1189,3024
70.023941,7,28,1303,3160
55.218753,8,28,1337,3379
61.578761,6,27,1139,2792
112.089335,7,27,1284,3152
62.501014,6,22,1209,2868
62.673993,6,18,1161,2950
92.530531,7,18,1283,3379
92.868301,8,18,1432,3853
74.585551,9,18,1623,4389
104.360903,9,19,1706,4624
105.054588,11,18,2003,5561
134.897910,11,19,2114,5940
110.152948,12,19,2194,6488
178.443740,12,13,2223,6736
140.217476,14,19,2364,7590
189.490631,14,13,2487,7973
207.191578,15,13,2798,8734
205.122159,14,15,2731,8726
204.974501,13,12,2706,8652
130.157437,10,13,2431,7722
161.311300,9,15,2270,7310
105.167348,8,16,2043,6662
410.692758,29,35,4732,18432
362.645032,30,33,4744,18485
385.216169,33,31,5076,20532
235.373954,35,24,5472,22341
195.617027,37,23,5604,23352
174.402915,38,23,5711,23939
621.241587,40,22,5895,24899
539.713674,41,21,5977,25161
490.816241,37,24,5630,24101
297.976766,37,22,5512,24069
754.834504,35,70,5340,26975
304.336337,27,65,4355,21657
202.513837,28,36,4552,21501
