#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
18.484426,1.125324,92.240349,126.091336,3.536010,241.478046
18.269630,1.080432,97.384682,147.701288,4.157970,268.594576
18.275072,1.026778,92.916340,187.487197,3.529544,303.235578
18.527526,1.079176,90.094649,117.231634,4.274476,231.207956
38.459945,0.919652,91.604438,123.482173,3.133898,257.600838
33.115328,0.768499,93.529888,159.379558,4.694984,291.488768
29.707763,0.574518,97.399368,232.322708,5.121939,365.126915
27.815324,0.626129,100.221640,178.915307,4.355677,311.934614
24.322705,0.633813,113.572943,260.266952,5.349399,404.146379
23.254315,0.782405,102.027984,161.891698,4.465439,292.422532
22.590620,1.005145,98.697015,142.150913,5.269215,269.713580
18.517941,0.812011,73.880113,135.810450,2.483748,231.504848
18.272927,2.105290,62.445651,92.184080,1.982295,176.990714
20.579109,0.839474,60.277648,69.713327,1.712688,153.122946
19.064724,0.700836,54.221499,82.003513,1.171009,157.162093
21.807686,0.739937,46.425256,74.496191,1.257930,144.727450
20.912382,0.675643,49.804272,81.734976,1.416366,154.544109
20.336755,0.788676,61.448702,93.871353,1.365417,177.811407
19.986323,0.809693,65.539988,109.649063,1.563695,197.549188
19.831570,0.959759,67.359580,115.014146,1.672764,204.838553
18.884216,0.988745,72.492962,94.330787,1.827496,188.524665
19.034467,0.954496,73.696385,124.122456,2.258866,220.067282
18.844690,0.922624,75.185717,98.530905,2.119732,195.604237
18.575338,0.735663,69.432014,136.242343,2.699326,227.687803
19.199149,0.672752,62.372887,104.574157,2.227046,189.046638
18.429639,0.535003,66.143672,66.233801,2.281166,153.623834
19.748955,0.416529,60.844817,20.156416,3.004160,104.171310
19.662793,0.518000,75.555348,126.179651,2.443598,224.359869
20.301606,0.437244,78.106062,130.266155,2.620572,231.732197
20.316439,0.532915,87.455536,193.833559,2.841798,304.980888
20.565940,0.717570,80.438403,159.170869,3.106568,263.999921
36.126658,0.737304,83.475128,153.159433,3.406870,276.906202
28.864523,0.712281,86.171050,147.509529,3.368736,266.626682
26.423543,0.627682,82.561339,155.779452,3.470451,268.863008
26.046468,0.953718,99.807963,175.073806,5.169138,307.051658
23.334055,0.727445,90.752428,153.857580,3.292448,271.964503
22.977219,0.643077,70.794752,0.000000,0.000000,94.416101
23.054018,0.543587,70.933799,0.000000,0.000000,94.532143
23.765292,0.384675,91.531008,0.000000,0.000000,115.681559
23.717854,0.347182,74.106645,0.000000,0.000000,98.172129
24.531690,0.293603,99.796941,0.000000,0.000000,124.622950
25.088283,0.258524,98.564781,0.000000,0.000000,123.912303
25.949130,0.252049,66.265105,0.000000,0.000000,92.466997
27.489225,0.241671,89.441398,0.000000,0.000000,117.173034
27.409795,0.204288,95.921166,265.857055,3.941214,393.334508
32.354028,0.364113,103.719868,344.947237,6.161216,487.547070
29.743935,0.423885,111.568450,254.392130,5.858788,401.988000
29.692854,0.747629,112.365842,270.125632,6.161459,419.094175
28.174551,0.669678,105.183846,415.947828,7.592310,557.568964
25.762160,0.789833,100.181037,258.154819,6.661049,391.549536
21.108907,0.695495,90.721968,196.527376,5.187938,314.242189
19.811564,0.569456,76.180628,201.485469,4.722228,302.770031
18.469928,0.563609,77.242682,190.410195,4.006557,290.693592
17.915712,0.541745,61.791870,120.858882,3.851744,204.960542
17.170931,0.570066,58.542156,115.913881,2.180564,194.378825
16.783581,0.691501,53.199494,92.434716,1.994373,165.104512
17.886821,0.626581,59.744351,109.776549,2.076348,190.111331
17.281260,0.583205,60.326443,60.304533,2.160864,140.657021
17.555761,0.423896,72.496602,94.294079,2.055687,186.826685
18.766400,0.430414,74.575266,107.012410,2.451828,203.236891
19.783919,0.496996,82.536495,157.456727,2.430774,262.705674
19.140980,0.556356,80.927773,129.591275,3.200751,233.417673
18.516444,0.560130,80.418525,167.180913,2.720833,269.398159
17.901894,0.784304,76.949531,131.903594,3.466619,231.006800
17.223575,0.685992,68.546559,185.243515,3.116973,274.817557
17.271073,0.715125,73.785209,143.831584,3.800185,239.404061
17.040261,0.684221,71.310449,142.967594,3.816559,235.819606
16.839823,0.791670,73.653683,136.679066,3.560330,231.525375
16.676124,0.766309,73.749930,137.464124,3.676609,232.333938
16.752874,0.706772,77.565043,137.029286,3.842009,235.896594
17.254239,0.725736,76.871296,193.986345,3.475466,292.313693
16.873937,0.745917,82.628312,139.081013,4.022595,243.352421
17.480892,0.725209,84.090841,157.855278,3.896451,264.049478
17.225276,0.813538,84.878704,126.631516,4.152854,233.702557
17.067032,0.735615,80.801705,100.544900,3.914205,203.064226
17.169218,0.714288,85.346585,129.884715,8.313548,241.429041
18.518563,0.652581,93.070842,133.430452,3.385210,249.058198
18.773710,0.606472,91.110236,142.514531,3.987129,256.992695
17.989399,0.641591,89.911166,134.400449,3.154071,246.097234
18.404602,0.568180,99.889946,110.370975,4.267820,233.502024
17.957787,0.665537,83.022359,126.780708,5.107255,233.534491
17.577725,0.690022,85.885376,124.458617,3.694545,232.306875
18.188212,0.624958,88.416313,143.212871,3.321453,253.764303
18.580974,0.638471,99.072791,139.331801,5.183848,262.808421
18.238584,0.678913,84.160640,147.875143,4.250950,255.204760
19.158485,0.860364,87.267665,131.132501,3.394499,241.814115
19.440248,0.699820,84.519550,105.083948,3.418267,213.162423
22.593162,0.557502,85.891161,114.736623,3.386498,227.165503
21.744288,0.498927,88.317476,118.577213,3.391867,232.530533
24.974483,0.643059,72.450452,0.000000,0.000000,98.068496
23.297838,0.550982,91.075429,232.297565,3.662829,350.885321
23.657672,0.667376,89.386010,175.452516,7.052474,296.218738
41.325114,0.595139,103.802559,186.767813,4.317282,336.808477
32.619938,0.710927,102.599020,258.509993,7.902805,402.343552
28.717429,0.896952,89.217177,185.170087,7.047609,311.049880
26.704088,0.653270,89.786272,171.475115,3.844668,292.464300
26.084946,0.682357,93.984743,99.780891,3.781836,224.315395
26.311206,0.526710,73.653524,0.000000,0.000000,100.492109
25.251616,0.449601,78.448361,0.000000,0.000000,104.150103
26.197196,0.459044,78.169149,0.000000,0.000000,104.826004
26.430795,0.314810,91.382426,0.000000,0.000000,118.131984
29.239399,0.694281,129.068377,42.593942,6.186370,207.782876
28.685435,0.434656,79.071053,0.000000,0.000000,108.191754
29.185614,0.378203,76.877135,0.000000,0.000000,106.441648
34.415868,0.294486,110.068920,140.465366,4.730135,289.975279
35.127891,0.385923,112.039573,364.988839,9.754054,522.296922
33.395711,0.581026,105.232105,271.208902,8.561395,418.979909
30.289583,0.436688,108.846550,394.508482,9.649506,543.731398
28.021423,0.531910,99.349140,301.279487,9.493776,438.676273
24.819744,0.658120,93.860936,305.999904,7.074122,432.413548
21.268890,0.537925,85.303893,209.826019,5.678156,322.615552
18.620246,0.580644,64.042339,110.160780,3.445617,196.850314
17.772928,0.729914,62.706990,91.869746,1.920831,175.001069
18.049140,0.795139,54.964348,97.342188,1.678905,172.830166
18.119508,0.767836,54.278958,79.552102,1.640802,154.359717
17.119670,0.530038,50.239094,62.115264,1.744252,131.748852
17.016450,0.438992,57.959178,71.715093,1.775423,148.905740
17.719302,0.417432,61.118516,94.314095,1.683900,175.253949
17.988296,0.393822,71.676024,77.484278,2.062456,169.605519
18.507907,0.398538,81.012170,123.906029,2.358856,226.184039
18.463397,0.740375,81.371759,132.693029,2.697315,235.966474
18.129326,0.640580,79.553286,150.774059,2.779854,251.877939
17.813980,0.636036,71.146449,123.372439,3.193887,216.163659
17.207228,0.605984,67.827294,123.461042,2.756144,211.858226
17.345298,0.533888,66.618588,116.105834,2.761985,203.366162
17.566011,0.421820,69.364800,122.325290,2.959350,212.637891
17.857831,0.502432,74.429967,130.554067,3.227419,226.572497
18.635563,0.518927,74.291966,168.113874,3.111428,264.672380
18.350066,0.622335,80.582713,142.184527,3.396354,245.136622
17.929300,0.593254,77.201328,187.292724,3.515464,286.532683
18.662995,0.689323,84.227720,145.745369,3.753937,253.079952
18.526549,0.654706,84.050984,147.084336,3.820101,254.137731
19.142471,0.750910,88.355540,150.913945,3.773040,262.936889
19.404492,0.719595,87.341666,167.700600,4.031308,279.198310
20.303048,0.652828,92.019870,162.193880,3.710244,278.880528
21.759095,0.654843,90.887729,153.200245,4.540981,271.043764
21.423938,0.573771,89.298996,168.360580,3.975128,283.633140
